family_id,source,model,n_historical,n_support,n_test,valid_pair_count,correct_pair_count,pairwise_accuracy,within_family_spearman
2015_Marelli|len=6|Circle,2015_Marelli,Chemistry,7214,3,7,20,11,0.55,0.18018749253911182
2015_Marelli|len=6|Circle,2015_Marelli,Chemistry + Site,7214,3,7,20,12,0.6,0.21622499104693418
2015_Marelli|len=6|Circle,2015_Marelli,Chemistry + Site + Context,7214,3,7,20,12,0.6,0.09009374626955591
2015_Marelli|len=6|Circle,2015_Marelli,ECFP,7214,3,7,20,9,0.45,-0.31486880929507033
2015_Wang|len=6|Circle,2015_Wang,Sequence,7162,18,44,881,548,0.6220204313280363,0.32756191275076857
2015_Wang|len=6|Circle,2015_Wang,Chemistry,7162,18,44,881,588,0.6674233825198638,0.45230883588936893
2015_Wang|len=6|Circle,2015_Wang,Chemistry + Site,7162,18,44,881,617,0.7003405221339387,0.5035743297279983
2015_Wang|len=6|Circle,2015_Wang,Chemistry + Site + Context,7162,18,44,881,601,0.6821793416572077,0.47160333864255055
2015_Wang|len=6|Circle,2015_Wang,ECFP,7162,18,44,881,582,0.6606129398410897,0.4399426196202918
2016_Hickey|len=5|Circle,2016_Hickey,Sequence,7209,4,11,54,36,0.6666666666666666,0.4035394609486496
2016_Hickey|len=5|Circle,2016_Hickey,Chemistry,7209,4,11,54,42,0.7777777777777778,0.7602739726027398
2016_Hickey|len=5|Circle,2016_Hickey,Chemistry + Site,7209,4,11,54,35,0.6481481481481481,0.5558100980454104
2016_Hickey|len=5|Circle,2016_Hickey,Chemistry + Site + Context,7209,4,11,54,37,0.6851851851851852,0.5831450209001027
2016_Hickey|len=5|Circle,2016_Hickey,ECFP,7209,4,11,54,26,0.48148148148148145,-0.009216981340741337
2017_Pye|len=8|Circle,2017_Pye,Sequence,7210,4,10,44,39,0.8863636363636364,0.7773243302808225
2017_Pye|len=8|Circle,2017_Pye,Chemistry,7210,4,10,44,42,0.9545454545454546,0.866357072956159
2017_Pye|len=8|Circle,2017_Pye,Chemistry + Site,7210,4,10,44,34,0.7727272727272727,0.672890787717533
2017_Pye|len=8|Circle,2017_Pye,Chemistry + Site + Context,7210,4,10,44,33,0.75,0.6330304829932153
2017_Pye|len=8|Circle,2017_Pye,ECFP,7210,4,10,44,27,0.6136363636363636,0.14835432873622
2016_Furukawa|len=6|Circle,2016_Furukawa,Sequence,6536,206,482,115513,48954,0.42379645581016856,-0.13145359503707793
2016_Furukawa|len=6|Circle,2016_Furukawa,Chemistry,6536,206,482,115513,84187,0.7288097443577779,0.6430948805921436
2016_Furukawa|len=6|Circle,2016_Furukawa,Chemistry + Site,6536,206,482,115513,78823,0.6823734125163402,0.5357850535018436
2016_Furukawa|len=6|Circle,2016_Furukawa,Chemistry + Site + Context,6536,206,482,115513,79509,0.6883121380277545,0.5423587230380211
2016_Furukawa|len=6|Circle,2016_Furukawa,ECFP,6536,206,482,115513,51133,0.4426601334914685,-0.1749339544376484
2018_Naylor|len=6|Circle,2018_Naylor,Sequence,7170,16,38,695,407,0.5856115107913669,0.27735467565610233
2018_Naylor|len=6|Circle,2018_Naylor,Chemistry,7170,16,38,695,536,0.7712230215827338,0.6851700289572078
2018_Naylor|len=6|Circle,2018_Naylor,Chemistry + Site,7170,16,38,695,502,0.7223021582733813,0.5817505769152961
2018_Naylor|len=6|Circle,2018_Naylor,Chemistry + Site + Context,7170,16,38,695,490,0.7050359712230215,0.5609503116511059
2018_Naylor|len=6|Circle,2018_Naylor,ECFP,7170,16,38,695,480,0.6906474820143885,0.5321874826051696
2018_Naylor|len=11|Circle,2018_Naylor,Sequence,7215,3,6,15,6,0.4,-0.15179418517972906
2018_Naylor|len=11|Circle,2018_Naylor,Chemistry,7215,3,6,15,10,0.6666666666666666,0.48571428571428577
2018_Naylor|len=11|Circle,2018_Naylor,Chemistry + Site,7215,3,6,15,11,0.7333333333333333,0.5428571428571429
2018_Naylor|len=11|Circle,2018_Naylor,Chemistry + Site + Context,7215,3,6,15,12,0.8,0.7714285714285715
2018_Naylor|len=11|Circle,2018_Naylor,ECFP,7215,3,6,15,3,0.2,-0.8406680016960503
2018_Naylor|len=7|Circle,2018_Naylor,Sequence,7215,3,6,15,12,0.8,0.753702346348183
2018_Naylor|len=7|Circle,2018_Naylor,Chemistry,7215,3,6,15,13,0.8666666666666667,0.7356123579206245
2018_Naylor|len=7|Circle,2018_Naylor,Chemistry + Site,7215,3,6,15,12,0.8,0.6571428571428573
2018_Naylor|len=7|Circle,2018_Naylor,Chemistry + Site + Context,7215,3,6,15,13,0.8666666666666667,0.8285714285714287
2018_Naylor|len=7|Circle,2018_Naylor,ECFP,7215,3,6,15,9,0.6,0.2571428571428572
2018_Ramalho|len=8|Circle,2018_Ramalho,Sequence,7214,3,7,0,0,,
2018_Ramalho|len=8|Circle,2018_Ramalho,Chemistry,7214,3,7,0,0,,
2018_Ramalho|len=8|Circle,2018_Ramalho,Chemistry + Site,7214,3,7,0,0,,
2018_Ramalho|len=8|Circle,2018_Ramalho,Chemistry + Site + Context,7214,3,7,0,0,,
2018_Ramalho|len=8|Circle,2018_Ramalho,ECFP,7214,3,7,0,0,,
2019_Ono|len=6|Circle,2019_Ono,Sequence,7216,3,5,10,8,0.8,
2019_Ono|len=6|Circle,2019_Ono,Chemistry,7216,3,5,10,7,0.7,0.3689323936863109
2019_Ono|len=6|Circle,2019_Ono,Chemistry + Site,7216,3,5,10,5,0.5,0.09999999999999999
2019_Ono|len=6|Circle,2019_Ono,Chemistry + Site + Context,7216,3,5,10,6,0.6,0.49999999999999994
2019_Ono|len=6|Circle,2019_Ono,ECFP,7216,3,5,10,8,0.8,
2020_Barlow|len=5|Circle,2020_Barlow,Sequence,7198,7,19,143,83,0.5804195804195804,0.1529628089717782
2020_Barlow|len=5|Circle,2020_Barlow,Chemistry,7198,7,19,143,122,0.8531468531468531,0.8027486465714839
2020_Barlow|len=5|Circle,2020_Barlow,Chemistry + Site,7198,7,19,143,127,0.8881118881118881,0.8813371753421532
2020_Barlow|len=5|Circle,2020_Barlow,Chemistry + Site + Context,7198,7,19,143,125,0.8741258741258742,0.8640203125381191
2020_Barlow|len=5|Circle,2020_Barlow,ECFP,7198,7,19,143,94,0.6573426573426573,0.38705894257870116
2020_Furukawa|len=10|Circle,2020_Furukawa,Sequence,7188,10,26,325,164,0.5046153846153846,0.08960541631330624
2020_Furukawa|len=10|Circle,2020_Furukawa,Chemistry,7188,10,26,325,164,0.5046153846153846,0.021929127541532256
2020_Furukawa|len=10|Circle,2020_Furukawa,Chemistry + Site,7188,10,26,325,153,0.4707692307692308,-0.10222222222222223
2020_Furukawa|len=10|Circle,2020_Furukawa,Chemistry + Site + Context,7188,10,26,325,133,0.40923076923076923,-0.2711111111111111
2020_Furukawa|len=10|Circle,2020_Furukawa,ECFP,7188,10,26,325,207,0.6369230769230769,0.37504273504273505
2020_Hosono|len=6|Circle,2020_Hosono,Sequence,7213,3,8,27,13,0.48148148148148145,
2020_Hosono|len=6|Circle,2020_Hosono,Chemistry,7213,3,8,27,18,0.6666666666666666,0.655966919110482
2020_Hosono|len=6|Circle,2020_Hosono,Chemistry + Site,7213,3,8,27,14,0.5185185185185185,0.11976262619132588
2020_Hosono|len=6|Circle,2020_Hosono,Chemistry + Site + Context,7213,3,8,27,18,0.6666666666666666,0.3952166664313755
2020_Hosono|len=6|Circle,2020_Hosono,ECFP,7213,3,8,27,11,0.4074074074074074,-0.31491082421467265
2020_Townsend|len=6|Circle,2020_Townsend,Sequence,6161,318,745,275165,170637,0.6201261061544892,0.22327905686656843
2020_Townsend|len=6|Circle,2020_Townsend,Chemistry,6161,318,745,275165,209085,0.7598531790016899,0.7065861248075408
2020_Townsend|len=6|Circle,2020_Townsend,Chemistry + Site,6161,318,745,275165,204649,0.7437319426525902,0.6687938152621644
2020_Townsend|len=6|Circle,2020_Townsend,Chemistry + Site + Context,6161,318,745,275165,198735,0.7222393836425417,0.617303695215648
2020_Townsend|len=6|Circle,2020_Townsend,ECFP,6161,318,745,275165,201136,0.7309650573292388,0.6396045414160282
2020_Townsend|len=7|Circle,2020_Townsend,Sequence,5201,606,1417,992055,598514,0.6033072763102852,0.29776396857307075
2020_Townsend|len=7|Circle,2020_Townsend,Chemistry,5201,606,1417,992055,663462,0.6687754207176013,0.47343393381157756
2020_Townsend|len=7|Circle,2020_Townsend,Chemistry + Site,5201,606,1417,992055,667201,0.6725443649797642,0.48569736642088696
2020_Townsend|len=7|Circle,2020_Townsend,Chemistry + Site + Context,5201,606,1417,992055,653470,0.6587033985010912,0.4497804152189985
2020_Townsend|len=7|Circle,2020_Townsend,ECFP,5201,606,1417,992055,708182,0.71385356658653,0.5863953770057182
2021_Comeau|len=4|Circle,2021_Comeau,Sequence,7182,12,30,432,270,0.625,0.4006698124233516
2021_Comeau|len=4|Circle,2021_Comeau,Chemistry,7182,12,30,432,228,0.5277777777777778,0.15001469267918235
2021_Comeau|len=4|Circle,2021_Comeau,Chemistry + Site,7182,12,30,432,291,0.6736111111111112,0.5292463089579403
2021_Comeau|len=4|Circle,2021_Comeau,Chemistry + Site + Context,7182,12,30,432,294,0.6805555555555556,0.48156901704427846
2021_Comeau|len=4|Circle,2021_Comeau,ECFP,7182,12,30,432,273,0.6319444444444444,0.35491441692222364
2021_Golosov|len=6|Circle,2021_Golosov,Sequence,7205,5,14,87,52,0.5977011494252874,0.039396781977151525
2021_Golosov|len=6|Circle,2021_Golosov,Chemistry,7205,5,14,87,62,0.7126436781609196,0.4877341499336346
2021_Golosov|len=6|Circle,2021_Golosov,Chemistry + Site,7205,5,14,87,61,0.7011494252873564,0.5094133799194859
2021_Golosov|len=6|Circle,2021_Golosov,Chemistry + Site + Context,7205,5,14,87,54,0.6206896551724138,0.3745876934760861
2021_Golosov|len=6|Circle,2021_Golosov,ECFP,7205,5,14,87,61,0.7011494252873564,0.4808910606869741
2021_Wang|len=10|Circle,2021_Wang,Sequence,7200,7,17,125,64,0.512,0.07587540074812729
2021_Wang|len=10|Circle,2021_Wang,Chemistry,7200,7,17,125,92,0.736,0.6107347830709918
2021_Wang|len=10|Circle,2021_Wang,Chemistry + Site,7200,7,17,125,88,0.704,0.646409271396097
2021_Wang|len=10|Circle,2021_Wang,Chemistry + Site + Context,7200,7,17,125,76,0.608,0.263536087569178
2021_Wang|len=10|Circle,2021_Wang,ECFP,7200,7,17,125,69,0.552,0.16677971194887428
2022_Bhardwaj|len=6|Circle,2022_Bhardwaj,Sequence,7214,3,7,21,16,0.7619047619047619,0.495600591294688
2022_Bhardwaj|len=6|Circle,2022_Bhardwaj,Chemistry,7214,3,7,21,17,0.8095238095238095,0.642857142857143
2022_Bhardwaj|len=6|Circle,2022_Bhardwaj,Chemistry + Site,7214,3,7,21,13,0.6190476190476191,0.3214285714285715
2022_Bhardwaj|len=6|Circle,2022_Bhardwaj,Chemistry + Site + Context,7214,3,7,21,15,0.7142857142857143,0.642857142857143
2022_Bhardwaj|len=6|Circle,2022_Bhardwaj,ECFP,7214,3,7,21,11,0.5238095238095238,0.28571428571428575
2022_Bhardwaj|len=8|Circle,2022_Bhardwaj,Sequence,7195,8,21,210,100,0.47619047619047616,-0.0818713623124665
2022_Bhardwaj|len=8|Circle,2022_Bhardwaj,Chemistry,7195,8,21,210,113,0.5380952380952381,0.12146801550023983
2022_Bhardwaj|len=8|Circle,2022_Bhardwaj,Chemistry + Site,7195,8,21,210,124,0.5904761904761905,0.27662337662337666
2022_Bhardwaj|len=8|Circle,2022_Bhardwaj,Chemistry + Site + Context,7195,8,21,210,126,0.6,0.26103896103896107
2022_Bhardwaj|len=8|Circle,2022_Bhardwaj,ECFP,7195,8,21,210,121,0.5761904761904761,0.22337662337662337
2021_Kelly|len=10|Lariat,2021_Kelly,Sequence,5705,455,1064,562762,274445,0.48767507400997223,0.04006470253183752
2021_Kelly|len=10|Lariat,2021_Kelly,Chemistry,5705,455,1064,562762,369160,0.6559789040482478,0.45817847014974694
2021_Kelly|len=10|Lariat,2021_Kelly,Chemistry + Site,5705,455,1064,562762,379737,0.6747737054029945,0.5044557191318535
2021_Kelly|len=10|Lariat,2021_Kelly,Chemistry + Site + Context,5705,455,1064,562762,382665,0.679976615336501,0.5173748462353986
2021_Kelly|len=10|Lariat,2021_Kelly,ECFP,5705,455,1064,562762,371636,0.6603786325302703,0.47692985003860056
2022_Bhardwaj|len=9|Circle,2022_Bhardwaj,Sequence,7191,9,24,274,174,0.635036496350365,0.3876441248994407
2022_Bhardwaj|len=9|Circle,2022_Bhardwaj,Chemistry,7191,9,24,274,168,0.6131386861313869,0.32847510022343174
2022_Bhardwaj|len=9|Circle,2022_Bhardwaj,Chemistry + Site,7191,9,24,274,162,0.5912408759124088,0.31926927770185204
2022_Bhardwaj|len=9|Circle,2022_Bhardwaj,Chemistry + Site + Context,7191,9,24,274,167,0.6094890510948905,0.36668120041234503
2022_Bhardwaj|len=9|Circle,2022_Bhardwaj,ECFP,7191,9,24,274,154,0.5620437956204379,0.18747283200204118
2022_Bhardwaj|len=10|Circle,2022_Bhardwaj,Sequence,7189,10,25,298,177,0.5939597315436241,0.30221367258652077
2022_Bhardwaj|len=10|Circle,2022_Bhardwaj,Chemistry,7189,10,25,298,181,0.6073825503355704,0.2601000577293148
2022_Bhardwaj|len=10|Circle,2022_Bhardwaj,Chemistry + Site,7189,10,25,298,208,0.697986577181208,0.48518664614891427
