split,feature_set_id,feature_set,metric,mean,sample_sd,ci95_low,ci95_high,n_completed_seeds,protocol,estimator
,A+C,Chemistry + Context,spearman,0.542,0.0,0.542,0.542,5,10-trial estimator matrix,Ridge
,B,Site,r2,0.144,0.002,0.141,0.146,5,10-trial estimator matrix,Ridge
,B,Site,rmse,1.057,0.001,1.056,1.059,5,10-trial estimator matrix,Ridge
,B,Site,mae,0.701,0.0,0.701,0.702,5,10-trial estimator matrix,Ridge
,B,Site,spearman,0.423,0.001,0.422,0.424,5,10-trial estimator matrix,Ridge
,B+C,Site + Context,r2,0.18,0.0,0.18,0.18,5,10-trial estimator matrix,Ridge
,B+C,Site + Context,rmse,1.035,0.0,1.035,1.035,5,10-trial estimator matrix,Ridge
,B+C,Site + Context,mae,0.679,0.0,0.679,0.679,5,10-trial estimator matrix,Ridge
,B+C,Site + Context,spearman,0.515,0.0,0.515,0.515,5,10-trial estimator matrix,Ridge
,C,Context,r2,0.144,0.0,0.144,0.144,5,10-trial estimator matrix,Ridge
,C,Context,rmse,1.057,0.0,1.057,1.057,5,10-trial estimator matrix,Ridge
,C,Context,mae,0.702,0.0,0.702,0.702,5,10-trial estimator matrix,Ridge
,C,Context,spearman,0.452,0.0,0.452,0.452,5,10-trial estimator matrix,Ridge
,A,Chemistry,r2,0.429,0.003,0.425,0.433,5,10-trial estimator matrix,XGBoost
,A,Chemistry,rmse,0.863,0.003,0.86,0.866,5,10-trial estimator matrix,XGBoost
,A,Chemistry,mae,0.525,0.001,0.523,0.526,5,10-trial estimator matrix,XGBoost
,A,Chemistry,spearman,0.718,0.002,0.716,0.72,5,10-trial estimator matrix,XGBoost
,A+B,Chemistry + Site,r2,0.456,0.012,0.44,0.471,5,10-trial estimator matrix,XGBoost
,A+B,Chemistry + Site,rmse,0.843,0.01,0.831,0.855,5,10-trial estimator matrix,XGBoost
,A+B,Chemistry + Site,mae,0.512,0.01,0.499,0.525,5,10-trial estimator matrix,XGBoost
,A+B,Chemistry + Site,spearman,0.735,0.01,0.723,0.747,5,10-trial estimator matrix,XGBoost
,A+B+C,Chemistry + Site + Context,r2,0.461,0.01,0.448,0.473,5,10-trial estimator matrix,XGBoost
,A+B+C,Chemistry + Site + Context,rmse,0.839,0.008,0.829,0.849,5,10-trial estimator matrix,XGBoost
,A+B+C,Chemistry + Site + Context,mae,0.509,0.01,0.496,0.522,5,10-trial estimator matrix,XGBoost
,A+B+C,Chemistry + Site + Context,spearman,0.734,0.012,0.719,0.749,5,10-trial estimator matrix,XGBoost
,A+C,Chemistry + Context,r2,0.429,0.003,0.425,0.433,5,10-trial estimator matrix,XGBoost
,A+C,Chemistry + Context,rmse,0.863,0.003,0.86,0.867,5,10-trial estimator matrix,XGBoost
,A+C,Chemistry + Context,mae,0.518,0.004,0.513,0.522,5,10-trial estimator matrix,XGBoost
,A+C,Chemistry + Context,spearman,0.716,0.003,0.712,0.72,5,10-trial estimator matrix,XGBoost
,B,Site,r2,0.321,0.012,0.307,0.336,5,10-trial estimator matrix,XGBoost
,B,Site,rmse,0.941,0.008,0.931,0.951,5,10-trial estimator matrix,XGBoost
,B,Site,mae,0.61,0.007,0.602,0.619,5,10-trial estimator matrix,XGBoost
,B,Site,spearman,0.611,0.01,0.598,0.623,5,10-trial estimator matrix,XGBoost
,B+C,Site + Context,r2,0.386,0.008,0.376,0.397,5,10-trial estimator matrix,XGBoost
,B+C,Site + Context,rmse,0.895,0.006,0.887,0.903,5,10-trial estimator matrix,XGBoost
,B+C,Site + Context,mae,0.566,0.005,0.559,0.573,5,10-trial estimator matrix,XGBoost
,B+C,Site + Context,spearman,0.678,0.007,0.669,0.686,5,10-trial estimator matrix,XGBoost
,C,Context,r2,0.275,0.004,0.27,0.28,5,10-trial estimator matrix,XGBoost
,C,Context,rmse,0.972,0.003,0.969,0.976,5,10-trial estimator matrix,XGBoost
,C,Context,mae,0.625,0.002,0.622,0.627,5,10-trial estimator matrix,XGBoost
,C,Context,spearman,0.568,0.002,0.565,0.571,5,10-trial estimator matrix,XGBoost
