estimator,feature_set_id,feature_set,metric,mean,sample_sd,ci95_low,ci95_high,n_completed_seeds
Random Forest,C,Context,spearman,0.5520848648991412,0.003108190819487391,0.5482255362590363,0.5559441935392462,5
Ridge,A,Chemistry,r2,0.10746551811295524,5.013041543819516e-06,0.10745929359974878,0.1074717426261617,5
Ridge,A,Chemistry,rmse,1.0793300842117186,3.0310996582651386e-06,1.079326320604398,1.0793338478190393,5
Ridge,A,Chemistry,mae,0.6976814711050175,5.878446638745013e-06,0.6976741720494608,0.6976887701605743,5
Ridge,A,Chemistry,spearman,0.4739680975238225,1.5870733852261882e-05,0.4739483914049731,0.47398780364267196,5
Ridge,A+B,Chemistry + Site,r2,0.17192254685066172,0.0026574020705663584,0.16862294637088732,0.17522214733043612,5
Ridge,A+B,Chemistry + Site,rmse,1.039625235089904,0.0016691893052156457,1.037552662823431,1.041697807356377,5
Ridge,A+B,Chemistry + Site,mae,0.6745167652804056,0.0002686798832328617,0.6741831551423537,0.6748503754184575,5
Ridge,A+B,Chemistry + Site,spearman,0.5134619428524354,0.00026381058164351483,0.5131343787508634,0.5137895069540074,5
Ridge,A+B+C,Chemistry + Site + Context,r2,0.17719487017945362,0.00032891850891441277,0.17678646390859173,0.1776032764503155,5
Ridge,A+B+C,Chemistry + Site + Context,rmse,1.0363113840534226,0.00020715684036836513,1.0360541648627555,1.0365686032440897,5
Ridge,A+B+C,Chemistry + Site + Context,mae,0.6678492280244817,7.103393894495032e-05,0.6677610277398431,0.6679374283091202,5
Ridge,A+B+C,Chemistry + Site + Context,spearman,0.5462361167106661,7.466925413858261e-05,0.5461434025860294,0.5463288308353027,5
Ridge,A+C,Chemistry + Context,r2,0.1816554326772725,0.00028200424218798064,0.18130527816240694,0.18200558719213805,5
Ridge,A+C,Chemistry + Context,rmse,1.0334985633425564,0.00017805593041307603,1.0332774777040958,1.033719648981017,5
Ridge,A+C,Chemistry + Context,mae,0.6694112974229324,2.981550031194779e-05,0.6693742765896066,0.6694483182562582,5
Ridge,A+C,Chemistry + Context,spearman,0.5423268566799226,0.00011223168819622854,0.5421875026332318,0.5424662107266135,5
Ridge,B,Site,r2,0.14354101531656277,0.0016902842307789801,0.14144225024047297,0.14563978039265257,5
Ridge,B,Site,rmse,1.0572918784088676,0.0010436061967287746,1.055996070166087,1.0585876866516482,5
Ridge,B,Site,mae,0.7010960485976826,0.00035944876447792265,0.7006497340076315,0.7015423631877337,5
Ridge,B,Site,spearman,0.4228412075191921,0.0010192624164859138,0.42157562607191934,0.4241067889664648,5
Ridge,B+C,Site + Context,r2,0.17953645782606237,8.344822311752201e-06,0.17952609636062647,0.17954681929149827,5
Ridge,B+C,Site + Context,rmse,1.0348357517580298,5.262579152482859e-06,1.0348292174029585,1.034842286113101,5
Ridge,B+C,Site + Context,mae,0.6790998310182447,2.4230218514904466e-06,0.6790968224392449,0.6791028395972445,5
Ridge,B+C,Site + Context,spearman,0.5150530049917739,3.121613880444665e-05,0.5150142450360574,0.5150917649474903,5
Ridge,C,Context,r2,0.14384563629984393,0.00011159241979721667,0.14370707600970928,0.14398419658997857,5
Ridge,C,Context,rmse,1.057104245753038,6.889193966511579e-05,1.0570187051117894,1.0571897863942865,5
Ridge,C,Context,mae,0.7020266595468065,2.435173226578552e-05,0.7019964228775583,0.7020568962160548,5
Ridge,C,Context,spearman,0.45193830605755164,7.632886454385967e-05,0.4518435312544238,0.4520330808606795,5
XGBoost,A,Chemistry,r2,0.4291417697034777,0.0034390858555064206,0.4248715806099636,0.43341195879699185,5
XGBoost,A,Chemistry,rmse,0.8631858919657314,0.0026035908301659983,0.8599531069658608,0.8664186769656019,5
XGBoost,A,Chemistry,mae,0.5246124044541579,0.0009078572978127925,0.5234851507319572,0.5257396581763586,5
XGBoost,A,Chemistry,spearman,0.7177102421290107,0.0017742672426251185,0.7155071983706508,0.7199132858873706,5
XGBoost,A+B,Chemistry + Site,r2,0.4557635503237945,0.012469157607260735,0.44028104623493025,0.47124605441265877,5
XGBoost,A+B,Chemistry + Site,rmse,0.8427775496585628,0.009620357726209706,0.8308322978200867,0.8547228014970388,5
XGBoost,A+B,Chemistry + Site,mae,0.5120389194130187,0.01044645913545276,0.49906792719582016,0.5250099116302173,5
XGBoost,A+B,Chemistry + Site,spearman,0.7350468793856899,0.00985640203774533,0.7228085398235993,0.7472852189477805,5
XGBoost,A+B+C,Chemistry + Site + Context,r2,0.4607371544491673,0.009961146663017026,0.4483687572568715,0.4731055516414631,5
XGBoost,A+B+C,Chemistry + Site + Context,rmse,0.8389329495218675,0.007737912932835311,0.8293250616119305,0.8485408374318044,5
XGBoost,A+B+C,Chemistry + Site + Context,mae,0.5086457827552089,0.010360264084427454,0.49578181582969183,0.5215097496807259,5
XGBoost,A+B+C,Chemistry + Site + Context,spearman,0.734216323778677,0.011995011221595917,0.7193225501867712,0.7491100973705828,5
XGBoost,A+C,Chemistry + Context,r2,0.42885125757708026,0.0034869065126630645,0.4245216912952043,0.43318082385895623,5
XGBoost,A+C,Chemistry + Context,rmse,0.863405421882517,0.002637849444457433,0.8601300991946524,0.8666807445703816,5
XGBoost,A+C,Chemistry + Context,mae,0.5175157896264855,0.003592593032820432,0.5130549961974347,0.5219765830555363,5
XGBoost,A+C,Chemistry + Context,spearman,0.7161174648606257,0.0032870937242933246,0.7120359989244491,0.7201989307968022,5
XGBoost,B,Site,r2,0.3214704932193744,0.01189668714267432,0.30669880509642206,0.3362421813423267,5
XGBoost,B,Site,rmse,0.9410503021146364,0.008237722533175727,0.9308218186180002,0.9512787856112725,5
XGBoost,B,Site,mae,0.6103295146531202,0.0069519311524862334,0.6016975520230868,0.6189614772831536,5
XGBoost,B,Site,spearman,0.6106699592397884,0.009926850963772924,0.5983441457825371,0.6229957726970397,5
XGBoost,B+C,Site + Context,r2,0.3861342091019292,0.008404431167017744,0.3756987294964616,0.3965696887073968,5
XGBoost,B+C,Site + Context,rmse,0.8950975536461279,0.0061221142639177484,0.8874959447717314,0.9026991625205243,5
XGBoost,B+C,Site + Context,mae,0.5661585964185338,0.005477155300830484,0.5593578098689217,0.572959382968146,5
XGBoost,B+C,Site + Context,spearman,0.6775762508702114,0.007033169820499999,0.6688434171108434,0.6863090846295795,5
XGBoost,C,Context,r2,0.275410552229889,0.004067660612879464,0.2703598844899651,0.28046121996981294,5
XGBoost,C,Context,rmse,0.9724928544056037,0.0027252304719621273,0.9691090338417605,0.975876674969447,5
XGBoost,C,Context,mae,0.6248295820103228,0.0021148349714985456,0.6222036675640708,0.6274554964565748,5
XGBoost,C,Context,spearman,0.5683262579470175,0.002331758713882491,0.5654309970994917,0.5712215187945433,5
