cutoff,model,metric,estimate,ci95_low,ci95_high,bootstrap_unit,replicates,bootstrap_seed
2019,ECFP,rmse,1.0485285930013737,0.7983192125207856,1.2928647770733652,peptide family,2000,20260717
2019,ECFP,mae,0.6182698491787098,0.5363376262176109,0.9111381153621734,peptide family,2000,20260717
2019,ECFP,spearman,0.4010126438376323,0.03331803366566169,0.48468216380206486,peptide family,2000,20260717
2019,RDKit,r2,-0.6978385266137919,-1.4951888422582311,-0.4284146965613773,peptide family,2000,20260717
2019,RDKit,rmse,1.3319811423303984,1.131005938440936,1.667190789328421,peptide family,2000,20260717
2019,RDKit,mae,0.9453804327693472,0.8339376196109672,1.2665304885571393,peptide family,2000,20260717
2019,RDKit,spearman,0.023836412436779548,-0.211209163587642,0.3265473358205952,peptide family,2000,20260717
2019,Sequence,r2,-0.263513923782565,-0.7482244435001166,-0.19067187361398671,peptide family,2000,20260717
2019,Sequence,rmse,1.1490525749239873,0.8605810783222334,1.5131559033544282,peptide family,2000,20260717
2019,Sequence,mae,0.7826810489958886,0.6539678838614057,1.1161987686243884,peptide family,2000,20260717
2019,Sequence,spearman,-0.05685123205403343,-0.2463003722853049,0.03115328804042406,peptide family,2000,20260717
2020,Chemistry,r2,-0.4894796389808602,-1.7223207861023004,-0.11109068230858515,peptide family,2000,20260717
2020,Chemistry,rmse,1.3011632326355582,1.1680135272163732,1.7467104267138802,peptide family,2000,20260717
2020,Chemistry,mae,0.852693639755962,0.7080432890583714,1.3186183965008025,peptide family,2000,20260717
2020,Chemistry,spearman,-0.017534922528466307,-0.27968647549060827,0.27512321190756595,peptide family,2000,20260717
2020,Chemistry + Site,r2,-0.31080180329843365,-0.9040611417445027,-0.16862255970278514,peptide family,2000,20260717
2020,Chemistry + Site,rmse,1.220627113096488,0.9398121825012445,1.5715033964161778,peptide family,2000,20260717
2020,Chemistry + Site,mae,0.7637891183640416,0.6603003384725692,1.0776453308254748,peptide family,2000,20260717
2020,Chemistry + Site,spearman,0.17693706140020338,-0.06916485378860678,0.33593895382130695,peptide family,2000,20260717
2020,Chemistry + Site + Context,r2,-0.1264283280625531,-0.3974645762586828,0.022376703544104506,peptide family,2000,20260717
2020,Chemistry + Site + Context,rmse,1.1315305379983434,0.7867418507218192,1.41638749249337,peptide family,2000,20260717
2020,Chemistry + Site + Context,mae,0.6737437899442319,0.5261554805990659,0.9362268491782888,peptide family,2000,20260717
2020,Chemistry + Site + Context,spearman,0.3022812469802763,0.08564857931918621,0.423951520988429,peptide family,2000,20260717
2020,ECFP,r2,-0.041584738451997616,-0.2490024803216779,0.09677326178377117,peptide family,2000,20260717
2020,ECFP,rmse,1.0880824395350301,0.7979227662243441,1.3490000057535023,peptide family,2000,20260717
2020,ECFP,mae,0.6275027740820367,0.5436744665672054,0.9025791028831451,peptide family,2000,20260717
2020,ECFP,spearman,0.42946799223447657,0.10031852834080075,0.5237445621077059,peptide family,2000,20260717
2020,RDKit,r2,-0.652694242579807,-1.8653247391106889,-0.2884907504257213,peptide family,2000,20260717
2020,RDKit,rmse,1.3706000851298206,1.2014243749975695,1.679716119207557,peptide family,2000,20260717
2020,RDKit,mae,1.0107803114431706,0.8541203813311241,1.3002906041544537,peptide family,2000,20260717
2020,RDKit,spearman,0.09742603076945118,-0.1401803330107175,0.398889281891943,peptide family,2000,20260717
2020,Sequence,r2,-0.17143361820239855,-0.751571117181442,-0.09556767475363531,peptide family,2000,20260717
2020,Sequence,rmse,1.1539137251674267,0.8658749091822763,1.5211492899337231,peptide family,2000,20260717
2020,Sequence,mae,0.7546142961941972,0.6308394637802313,1.101345763267556,peptide family,2000,20260717
2020,Sequence,spearman,-0.005387407961891133,-0.1487259522016066,0.07678469183497252,peptide family,2000,20260717
2021,Chemistry,r2,-1.141204087388509,-2.03703501608592,-0.6818281714548886,peptide family,2000,20260717
2021,Chemistry,rmse,1.2946773641369276,0.9761503525804045,2.1004053549307935,peptide family,2000,20260717
2021,Chemistry,mae,0.9396926956343242,0.7461992363896138,1.6766106612947207,peptide family,2000,20260717
2021,Chemistry,spearman,-0.1369045644150838,-0.3827194432272506,0.1042182751306951,peptide family,2000,20260717
2021,Chemistry + Site,r2,-0.4599027080457345,-1.5469875400349538,-0.029165210292280627,peptide family,2000,20260717
2021,Chemistry + Site,rmse,1.0690412917384227,0.7131740471486095,1.942860777078936,peptide family,2000,20260717
2021,Chemistry + Site,mae,0.7345110853946354,0.5536442049680862,1.4725966844207434,peptide family,2000,20260717
2021,Chemistry + Site,spearman,0.045021406638980827,-0.2428289997051677,0.3069617225797558,peptide family,2000,20260717
2021,Chemistry + Site + Context,r2,-0.3702648891282272,-1.076848316682627,-0.22210840146351082,peptide family,2000,20260717
2021,Chemistry + Site + Context,rmse,1.0357019357722659,0.7892544689936034,1.7069382478740311,peptide family,2000,20260717
2021,Chemistry + Site + Context,mae,0.7454239040707381,0.6115461279503291,1.2977615461638665,peptide family,2000,20260717
2021,Chemistry + Site + Context,spearman,0.012364684658361925,-0.25638410364550895,0.20638353732882786,peptide family,2000,20260717
2021,ECFP,r2,-0.031842089938911355,-0.5968148616043634,0.1361681681355408,peptide family,2000,20260717
2021,ECFP,rmse,0.8987504952373178,0.6536872415375772,1.5354845340094778,peptide family,2000,20260717
2021,ECFP,mae,0.6273816941690566,0.49497883111165425,1.1550609375689023,peptide family,2000,20260717
2021,ECFP,spearman,0.3985728071476547,-0.14198129295002263,0.4555409342844426,peptide family,2000,20260717
2021,RDKit,r2,-0.9031859058130294,-1.5228879517805152,-0.7854036658188398,peptide family,2000,20260717
2021,RDKit,rmse,1.2205993363840222,0.9692707394015638,1.9249693409020654,peptide family,2000,20260717
2021,RDKit,mae,0.9096401850422128,0.7578856270002087,1.5238197483848512,peptide family,2000,20260717
2021,RDKit,spearman,0.26377596913678053,-0.39913080488374414,0.3750482725506067,peptide family,2000,20260717
2021,Sequence,r2,-0.2809000872536833,-1.111966905590066,-0.10866980106993596,peptide family,2000,20260717
2021,Sequence,rmse,1.0013597958908949,0.7445750814002717,1.6891901864958088,peptide family,2000,20260717
2021,Sequence,mae,0.7213302837946178,0.5859403365992952,1.275519127980994,peptide family,2000,20260717
2021,Sequence,spearman,-0.2006528067465439,-0.36035234105402275,0.041996909100643194,peptide family,2000,20260717
2022,Chemistry,r2,-1.0647775955709968,-1.4743191351470974,-0.35732425898871695,peptide family,2000,20260717
2022,Chemistry,rmse,1.8327984401230821,1.0160057467108712,2.164468768433133,peptide family,2000,20260717
2022,Chemistry,mae,1.3547798986142492,0.7579640003376122,1.6874921370174412,peptide family,2000,20260717
2022,Chemistry,spearman,-0.2376705317119115,-0.3162774623198174,0.2159647259666601,peptide family,2000,20260717
2022,Chemistry + Site,r2,-0.5658764319867737,-0.8379138139347808,-0.07813290179143627,peptide family,2000,20260717
2022,Chemistry + Site,rmse,1.596087920513268,0.9067090391773219,1.8567375947381402,peptide family,2000,20260717
2022,Chemistry + Site,mae,1.1298442899884646,0.6711162597849836,1.3695303352733663,peptide family,2000,20260717
2022,Chemistry + Site,spearman,-0.03913222048233542,-0.13786750576642093,0.38116730128891735,peptide family,2000,20260717
2022,Chemistry + Site + Context,r2,-0.5284828869015439,-0.8446244266708298,0.04811944820973111,peptide family,2000,20260717
2022,Chemistry + Site + Context,rmse,1.5769152651309735,0.8740959922076024,1.8618454810760918,peptide family,2000,20260717
2022,Chemistry + Site + Context,mae,1.125965435997576,0.6373159635154143,1.3998742342048358,peptide family,2000,20260717
2022,Chemistry + Site + Context,spearman,0.010092853390121509,-0.10516667684254138,0.3850585786259683,peptide family,2000,20260717
2022,ECFP,r2,-0.3992579226785975,-0.7159480663188229,0.33850305654051444,peptide family,2000,20260717
2022,ECFP,rmse,1.508783598296278,0.8575241515770587,1.788598063941477,peptide family,2000,20260717
2022,ECFP,mae,1.0344998169892987,0.6207460286108951,1.2819737956640929,peptide family,2000,20260717
2022,ECFP,spearman,0.027324779060878806,-0.16967845219457975,0.5354071658616821,peptide family,2000,20260717
2022,RDKit,r2,-0.6385665371884368,-0.9934653110247126,-0.018817932196888123,peptide family,2000,20260717
2022,RDKit,rmse,1.6327139662204782,1.045919695211238,1.875714483689289,peptide family,2000,20260717
2022,RDKit,mae,1.1729872307427616,0.7623966591027318,1.390971499744974,peptide family,2000,20260717
2022,RDKit,spearman,-0.16257098601991485,-0.33514147926168814,0.29997274477225094,peptide family,2000,20260717
2022,Sequence,r2,-0.8163005482309513,-1.8808861001569488,-0.09437967541566818,peptide family,2000,20260717
2022,Sequence,rmse,1.718984354795226,1.0354187515986606,1.9850583766451098,peptide family,2000,20260717
2022,Sequence,mae,1.2172909441967097,0.7350068014988523,1.468592677032076,peptide family,2000,20260717
2022,Sequence,spearman,-0.17195862192684772,-0.3669992606394359,0.3220264253786125,peptide family,2000,20260717
2023,Chemistry,r2,-1.3464541672896404,-1.7556962619729928,-0.17317592646526878,peptide family,2000,20260717
2023,Chemistry,rmse,2.0747256615910357,1.0702133040144326,2.2385467768145917,peptide family,2000,20260717
2023,Chemistry,mae,1.616681897415084,0.844122108671848,1.8046732758957098,peptide family,2000,20260717
2023,Chemistry,spearman,-0.13047017359241367,-0.289213137017656,0.6939241945908285,peptide family,2000,20260717
2023,Chemistry + Site,r2,-0.6463102946442401,-1.1102371178742887,0.050216292319389455,peptide family,2000,20260717
2023,Chemistry + Site,rmse,1.737842795275454,1.117290345603239,1.8222579992793493,peptide family,2000,20260717
2023,Chemistry + Site,mae,1.2472982339577956,0.8136070945829815,1.3320389618762587,peptide family,2000,20260717
2023,Chemistry + Site,spearman,0.0973764279058295,-0.004218286203526178,0.6659768795711046,peptide family,2000,20260717
2023,Chemistry + Site + Context,r2,-0.666481400125206,-0.9233920922398914,0.1040207245741643,peptide family,2000,20260717
