split,feature_set_id,seed,metric,estimate,ci95_low,ci95_high,bootstrap_unit,replicates,seed_bootstrap,interval
random,A+C,2,rmse,0.8622766306762177,0.7049196925640155,1.0219674411666342,unique peptide sequence,2000,20260717,percentile
random,A+C,2,mae,0.5154603302079954,0.442548889943741,0.6022880798294946,unique peptide sequence,2000,20260717,percentile
random,A+C,2,spearman,0.7202385031702044,0.66882823013529,0.7789398066048235,unique peptide sequence,2000,20260717,percentile
random,A+C,3,r2,0.3926971817039462,0.3162426666739091,0.4936416465508561,unique peptide sequence,2000,20260717,percentile
random,A+C,3,rmse,0.8903165138313429,0.7183102566203817,1.0506289334433185,unique peptide sequence,2000,20260717,percentile
random,A+C,3,mae,0.5270344076870969,0.44534467472491,0.6139546036323198,unique peptide sequence,2000,20260717,percentile
random,A+C,3,spearman,0.7067887346960162,0.6574922437648621,0.7659922511265121,unique peptide sequence,2000,20260717,percentile
random,A+C,4,r2,0.4343252736940346,0.36574232909814924,0.5246558999806162,unique peptide sequence,2000,20260717,percentile
random,A+C,4,rmse,0.8592611340162689,0.7050967121253452,1.0061663760062547,unique peptide sequence,2000,20260717,percentile
random,A+C,4,mae,0.5167253602432652,0.44555062140529306,0.5985009530013272,unique peptide sequence,2000,20260717,percentile
random,A+C,4,spearman,0.7150544745017836,0.6669287302522356,0.776287686616061,unique peptide sequence,2000,20260717,percentile
random,B+C,0,r2,0.38465178691983537,0.31528215341129956,0.47094257766162395,unique peptide sequence,2000,20260717,percentile
random,B+C,0,rmse,0.8961944549834588,0.7385707707848999,1.041054986761821,unique peptide sequence,2000,20260717,percentile
random,B+C,0,mae,0.5678521735458266,0.49096512575873025,0.6482472713043641,unique peptide sequence,2000,20260717,percentile
random,B+C,0,spearman,0.6766812519706629,0.6354203601982944,0.722028051684272,unique peptide sequence,2000,20260717,percentile
random,B+C,1,r2,0.3865504015800001,0.31903173715042704,0.46609074056370237,unique peptide sequence,2000,20260717,percentile
random,B+C,1,rmse,0.8948108136483577,0.7492794595013853,1.0446318904898209,unique peptide sequence,2000,20260717,percentile
random,B+C,1,mae,0.5669413140143594,0.49443262030728397,0.6519106349056581,unique peptide sequence,2000,20260717,percentile
random,B+C,1,spearman,0.6765062159738665,0.6356209067688938,0.7238855559867535,unique peptide sequence,2000,20260717,percentile
