representation_id,seed,feature,subblock,mean_absolute_shap,proportion
A+B,3,anchor_res_P,B2,0.04096560925245285,0.03185432776808739
A+B,3,anchor_res_Q,B2,0.0,0.0
A+B,3,anchor_res_R,B2,0.0,0.0
A+B,3,anchor_res_S,B2,0.008393572643399239,0.006526733748614788
A+B,3,anchor_res_T,B2,0.004193067084997892,0.0032604748848825693
A+B,3,anchor_res_V,B2,0.010899102315306664,0.008475000970065594
A+B,3,anchor_res_W,B2,0.0,0.0
A+B,3,anchor_res_Y,B2,0.002243084367364645,0.0017441934905946255
A+B,3,anchor_hydrophobic_frac,B3,0.031682923436164856,0.02463623322546482
A+B,3,anchor_charged_frac,B3,0.007147098891437054,0.005557491909712553
A+B,3,anchor_polar_frac,B3,0.006797997280955315,0.005286035127937794
A+B,3,anchor_aromatic_frac,B3,0.012409314513206482,0.009649322368204594
A+B,3,anchor_small_frac,B3,0.019359063357114792,0.015053357928991318
A+B,3,anchor_proline_frac,B3,0.014173148199915886,0.011020856909453869
A+B,3,anchor_terminal_frac,B3,0.009453421458601952,0.007350858300924301
A+B,3,anchor_n_terminal_count,B3,0.001370020559988916,0.0010653103236109018
A+B,3,anchor_c_terminal_count,B3,0.11784443259239197,0.09163431078195572
A+B,4,mol_weight,A,0.07492045313119888,0.04044179990887642
A+B,4,logp,A,0.24518664181232452,0.132350891828537
A+B,4,tpsa,A,0.08993534743785858,0.04854678735136986
A+B,4,num_h_acceptors,A,0.02984754927456379,0.016111603006720543
A+B,4,num_h_donors,A,0.09758005291223526,0.052673373371362686
A+B,4,num_rotatable_bonds,A,0.10743889957666397,0.05799514427781105
A+B,4,num_aromatic_rings,A,0.05121802166104317,0.027647310867905617
A+B,4,num_aliphatic_rings,A,0.05968166142702103,0.03221595287322998
A+B,4,num_edits,A,0.03099670261144638,0.01673191227018833
A+B,4,num_edit_families,A,0.01538995373994112,0.0083074439316988
A+B,4,anchor_count_total,B1,0.019125105813145638,0.010323666036128998
A+B,4,anchor_count_unique,B1,0.024730078876018524,0.01334921084344387
A+B,4,anchor_density,B1,0.07527988404035568,0.04063582047820091
