split,comparison,seed,metric,observed_difference,ci95_low,ci95_high,bootstrap_unit,replicates,bootstrap_seed,interval
sequence_cluster,A+B minus A,0,rmse,-0.014087500739557446,-0.06228208412338488,0.03196860346270702,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B minus A,0,mae,-0.04415609581109703,-0.06446837393877108,-0.006901878297439604,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B minus A,0,spearman,-0.0038273786426387124,-0.043633233900998124,0.05642568261578838,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B minus A,1,r2,0.04972781914181157,0.007935546269595051,0.12730871535586458,held-out 70% sequence cluster,2000,20260718,percentile
sequence_cluster,A+B minus A,1,rmse,-0.031439133699381006,-0.07744047494894253,-0.00591200377182199,held-out 70% sequence cluster,2000,20260718,percentile
sequence_cluster,A+B minus A,1,mae,-0.03722520263242168,-0.07816532497146517,-0.019055398981382404,held-out 70% sequence cluster,2000,20260718,percentile
sequence_cluster,A+B minus A,1,spearman,0.03840611238689151,0.0022514600281210054,0.08502679645180142,held-out 70% sequence cluster,2000,20260718,percentile
sequence_cluster,A+B minus A,2,r2,0.015631185172300888,-0.013962242235098402,0.13203609281777173,held-out 70% sequence cluster,2000,20260719,percentile
sequence_cluster,A+B minus A,2,rmse,-0.00978650178240581,-0.07600726401265034,0.010254559323887419,held-out 70% sequence cluster,2000,20260719,percentile
sequence_cluster,A+B minus A,2,mae,-0.011626703310209874,-0.07828372741187753,0.004309266150650136,held-out 70% sequence cluster,2000,20260719,percentile
sequence_cluster,A+B minus A,2,spearman,0.009499372334491274,-0.02393511608234999,0.09270059024017299,held-out 70% sequence cluster,2000,20260719,percentile
sequence_cluster,A+B minus A,3,r2,0.016494516155211247,-0.010677445815840726,0.16642582270793627,held-out 70% sequence cluster,2000,20260720,percentile
sequence_cluster,A+B minus A,3,rmse,-0.010299066094072162,-0.10956820490927054,0.0069217868092550285,held-out 70% sequence cluster,2000,20260720,percentile
sequence_cluster,A+B minus A,3,mae,-0.025536210558068873,-0.0922071038953141,-0.008464887453951868,held-out 70% sequence cluster,2000,20260720,percentile
sequence_cluster,A+B minus A,3,spearman,-0.0019721120085957056,-0.03743676141961388,0.08803597899618743,held-out 70% sequence cluster,2000,20260720,percentile
random,B+C minus C,1,r2,0.11111735448945359,0.0431938707136037,0.17922222442244531,unique peptide sequence,2000,20260718,percentile
random,B+C minus C,1,rmse,-0.07766999986086631,-0.12898765874679077,-0.0307826970817747,unique peptide sequence,2000,20260718,percentile
random,B+C minus C,1,mae,-0.058768818227339814,-0.09634563749349773,-0.027402543885080986,unique peptide sequence,2000,20260718,percentile
random,B+C minus C,1,spearman,0.1116999526559902,0.06835801063518403,0.15284308412548622,unique peptide sequence,2000,20260718,percentile
random,B+C minus B,4,r2,0.07326351319649838,0.03561309675794578,0.11228490016973511,unique peptide sequence,2000,20260721,percentile
random,B+C minus B,4,rmse,-0.05026939963627297,-0.07201824063222649,-0.026015625463740536,unique peptide sequence,2000,20260721,percentile
random,B+C minus B,4,mae,-0.05328381738858967,-0.0692210383530895,-0.03501730259187836,unique peptide sequence,2000,20260721,percentile
random,B+C minus B,4,spearman,0.0729948388962155,0.04714132922179016,0.0979319418337908,unique peptide sequence,2000,20260721,percentile
random,B+C minus C,0,r2,0.1081451635629701,0.043405093759103286,0.17677077338736277,unique peptide sequence,2000,20260717,percentile
random,B+C minus C,0,rmse,-0.07556563883669531,-0.1236171130787683,-0.03006465876379829,unique peptide sequence,2000,20260717,percentile
random,B+C minus C,0,mae,-0.05747549656737061,-0.09548619428814085,-0.026518221111045293,unique peptide sequence,2000,20260717,percentile
random,B+C minus C,0,spearman,0.11022680895328452,0.06533541481632339,0.15169867523057104,unique peptide sequence,2000,20260717,percentile
random,B+C minus C,3,r2,0.1359569325670682,0.05033698033719913,0.21483937039152898,unique peptide sequence,2000,20260720,percentile
random,B+C minus C,3,rmse,-0.09424228999715922,-0.1514841656784913,-0.03501638643635511,unique peptide sequence,2000,20260720,percentile
random,B+C minus C,3,mae,-0.06738442878313322,-0.10610534069360325,-0.030986900409601326,unique peptide sequence,2000,20260720,percentile
random,B+C minus C,3,spearman,0.12393103769617064,0.07493815651356142,0.16466018960778506,unique peptide sequence,2000,20260720,percentile
