seed,setting,rmse,mae,r2,spearman
4,A+B1,0.8409563823710016,0.5152708956544005,0.45816958404371866,0.7296128010171493
0,A+B2,0.8617750523292332,0.5235902731031117,0.431010471616718,0.7209773801350347
1,A+B2,0.8640564404516868,0.522729501480703,0.42799389746986705,0.7213714200362167
2,A+B2,0.8923153189782703,0.5355743100551371,0.38996727028309863,0.6939179846118998
3,A+B2,0.8611383782678061,0.5209343512587692,0.4318508929190603,0.7237120477959568
4,A+B2,0.8951597117582786,0.5339245545419926,0.3860719247244726,0.6956274696910988
0,A+B3,0.8709733096777142,0.5260990955936061,0.41879929558595397,0.7156334915066697
1,A+B3,0.8773134205082301,0.5298265702813303,0.41030698342103034,0.7143844692814083
2,A+B3,0.8880660559710093,0.5414387319136088,0.3957634666946537,0.7042423635894333
3,A+B3,0.886598065299595,0.5389840413449867,0.39775944540095665,0.7093144174621152
4,A+B3,0.8800103076594539,0.5350965649387275,0.4066759438145927,0.7098708863403713
0,A+B,0.8311516251176155,0.504437663083146,0.4707303930311888,0.7430548930187815
1,A+B,0.847991577215146,0.5129160795842961,0.4490660748116624,0.7360877567608008
2,A+B,0.8613098627264243,0.5277872287973961,0.43162459144340504,0.7207070052931533
3,A+B,0.8344805272527238,0.5032591842230151,0.4664822751240407,0.7437462822218547
4,A+B,0.8356747025538563,0.4990645995208013,0.46495421176812446,0.7486657199937555
0,A+C,0.9025679162393403,0.538843002223848,0.3758683278313971,0.7007750259294206
1,A+C,0.8708159718800996,0.5273872390150953,0.4190092597219818,0.7124622856148768
2,A+C,0.8720426371222011,0.5244233984957515,0.41737129458284616,0.7129734608051356
3,A+C,0.9107443028086745,0.5421486139996675,0.3645090572927655,0.6925006836725305
4,A+C,0.9287337205481795,0.5548889529025798,0.3391561277646711,0.6814591591885595
0,A+B+C,0.8271302448174845,0.4991497684271733,0.475839558138217,0.7432141421465837
1,A+B+C,0.8281840886429548,0.4996813067431744,0.4745030451924507,0.7414572026561385
2,A+B+C,0.8422060454591259,0.5067494130521737,0.4565580651226909,0.7366477370199748
3,A+B+C,0.8374929096837371,0.4990886015890187,0.46262344270706235,0.7460813253953391
4,A+B+C,0.8560572678939179,0.508863325850961,0.43853579186371217,0.7393269016883138
